Date,Lake,TAG.NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site.Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On Time (s),Water Temp (C),Secchi (cm),Weather,Year
3/18/2019,5 Island,23594,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,19586,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,23523,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,19676,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,23530,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,18131,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,18084,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,17860,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,24409,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,19243,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,23389,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,18290,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,21418,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,23225,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
3/18/2019,5 Island,20681,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,15388,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11108,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,12150,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,16579,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,11119,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
4/4/2019,N Twin ,12929,,,,,,,Commercial Harvest,Seine,,,,,,,,,,2019
