"Lake","Species","Mean","Trad.lower","Trad.upper","L.BMD","BMD","U.BMD","Year"
"Silver","Bridge",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Std 1",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Std 2",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Std 3",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Std 4",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Std 5",NA,NA,NA,NA,NA,NA,"2019"
"Silver","Std 6",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Bonus 1",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Bonus 10",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Bonus 12",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Bonus 2",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Bonus 3",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Bonus 4",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Bonus 5",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Bonus 6",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Bonus 7",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Bonus 8",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Std 1",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Std 2",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Std 3",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Std 4",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Std 5",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Std 6",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Std 7",NA,NA,NA,NA,NA,NA,"2019"
"Storm","Std 9",NA,NA,NA,NA,NA,NA,"2019"
