Lake,Envelope #,Species,TL mm,Weight g,Spine MAS,Otolith MAS,Spine PVG,Otolith PVG,Spine TFF,Otolith TFF,Spine DRF,Otolith DRF
N Twin,188,COC,465,1350,6,7,14,,21,16,,
N Twin,189,COC,546,2250,7,7,8,,9,13,,
N Twin,190,COC,592,3060,16,12,11,,16,25,,
N Twin,191,COC,406,915,8,9,13,,6,8,,
N Twin,192,COC,462,1395,7,9,8,,7,10,,
N Twin,193,COC,688,5115,19,16,7,,11,21,,
N Twin,194,COC,424,885,9,10,13,,8,7,,
N Twin,195,COC,460,1450,8,8,8,,5,7,,
N Twin,196,COC,518,1650,7,8,9,,12,27,,
N Twin,197,COC,561,2465,6,6,7,,6,21,,
N Twin,198,COC,584,3040,5,6,8,,6,6,,
N Twin,199,COC,584,2715,15,14,8,,16,16,,
N Twin,200,COC,597,2970,9,10,13,,15,20,,
N Twin,201,COC,625,2810,8,9,15,,12,18,,
N Twin,202,COC,549,2315,5,6,6,,4,7,,
N Twin,203,COC,368,615,5,4,9,,6,15,,
N Twin,204,COC,399,715,3,4,10,,4,20,,
N Twin,205,COC,508,1750,7,8,10,,12,14,,
N Twin,206,COC,533,1825,8,8,7,,15,17,,
N Twin,207,COC,445,1045,6,6,8,,9,18,,
N Twin,208,COC,554,2405,8,6,8,,9,8,,
Blue,1,COC,420,1085,5,5,7,,8,7,,
Blue,2,COC,424,1115,5,3,13,,4,2,,
Blue,3,COC,596,2845,8,7,10,,7,5,,
Blue,4,COC,402,675,4,4,7,,4,4,,
Blue,5,COC,352,525,,2,7,,3,,,
Blue,6,COC,330,495,,2,6,,2,,,
Blue,7,COC,334,770,,3,5,,4,,,
Blue,8,COC,494,1595,6,6,12,,8,9,,
Blue,9,COC,480,1255,5,5,9,,9,12,,
Blue,10,COC,496,1475,5,4,8,,14,7,,
Blue,11,COC,502,1795,7,7,7,,15,14,,
Blue,12,COC,338,540,3,3,11,,6,9,,
Blue,13,COC,422,910,4,4,8,,5,13,,
Blue,14,COC,388,765,4,4,7,,6,4,,
Blue,15,COC,550,2145,7,7,10,,10,7,,
Blue,16,COC,354,580,3,3,9,,10,12,,
Blue,17,COC,440,955,4,4,8,,4,11,,
Blue,18,COC,428,935,4,4,6,,7,5,,
Blue,19,COC,348,545,2,3,7,,4,17,,
Blue,20,COC,372,625,4,4,8,,3,5,,
Blue,21,COC,361,660,2,3,6,,8,4,,
Blue,22,COC,358,560,3,3,7,,4,3,,
Blue,23,COC,374,620,3,3,8,,12,8,,
Blue,24,COC,342,530,,2,9,,12,,,
Blue,25,COC,426,795,5,5,6,,17,18,,
Blue,26,COC,370,650,4,3,9,,12,14,,
Blue,27,COC,510,1920,8,7,8,,7,7,,
Blue,28,COC,390,765,3,3,7,,5,6,,
Blue,29,COC,380,605,3,4,10,,6,9,,
Blue,30,COC,376,680,4,4,7,,12,6,,
Blue,31,COC,384,695,4,5,8,,10,8,,
Blue,32,COC,372,635,4,4,7,,3,9,,
Blue,33,COC,368,660,3,4,12,,3,3,,
Blue,34,COC,388,735,5,5,7,,3,3,,
Blue,35,COC,560,2230,8,8,10,,12,13,,
Blue,36,COC,524,1665,6,5,6,,8,13,,
Blue,37,COC,500,1465,7,7,10,,9,10,,
Blue,38,COC,496,1495,6,6,11,,7,5,,
Blue,39,COC,382,675,4,4,8,,8,10,,
Blue,40,COC,360,565,3,3,10,,4,3,,
Blue,41,COC,340,595,4,3,7,,3,3,,
Blue,42,COC,318,430,3,3,11,,3,5,,
Blue,43,COC,356,510,3,4,6,,4,3,,
Blue,45,COC,304,420,3,3,8,,4,3,,
Blue,46,COC,480,1300,5,5,10,,7,4,,
Blue,48,COC,322,460,3,2,7,,2,6,,
Blue,49,COC,330,510,3,3,5,,2,4,,
Blue,50,COC,362,655,4,4,6,,6,7,,
Blue,51,COC,274,275,3,,7,,,20,,
Blue,52,COC,468,1190,6,6,12,,7,9,,
Blue,53,COC,360,580,3,3,6,,5,8,,
Blue,54,COC,276,290,2,2,5,,3,2,,
Blue,55,COC,344,570,4,4,7,,7,6,,
Blue,56,COC,508,1520,7,6,14,,11,27,,
Blue,57,COC,374,660,3,3,9,,4,4,,
Blue,58,COC,530,1600,10,7,12,,8,12,,
Blue,59,COC,364,560,2,3,10,,4,9,,
Blue,60,COC,506,1560,7,6,11,,6,5,,
Blue,61,COC,262,260,1,,,,,2,,
Blue,62,COC,354,545,,3,9,,6,,,
Blue,63,COC,250,220,2,2,5,,3,4,,
Blue,64,COC,326,465,3,,,,,11,,
