Date,Lake,Run,On-Time (s),EnvTag,Species,TL mm,Weight g
5/30/2018,Blue,2,3670,8677,COC,390,
5/30/2018,Blue,2,3670,8678,COC,406,
5/30/2018,Blue,2,3670,8679,COC,378,
5/30/2018,Blue,2,3670,8680,COC,376,
5/30/2018,Blue,2,3670,8681,COC,402,
5/30/2018,Blue,2,3670,8682,COC,392,
5/30/2018,Blue,2,3670,8683,COC,356,
5/30/2018,Blue,2,3670,8684,COC,424,
5/30/2018,Blue,2,3670,8685,COC,396,
5/30/2018,Blue,2,3670,8686,COC,434,
5/30/2018,Blue,2,3670,8687,COC,382,
5/30/2018,Blue,2,3670,8688,COC,362,
5/30/2018,Blue,2,3670,8689,COC,396,
5/30/2018,Blue,2,3670,8690,COC,406,
5/30/2018,Blue,2,3670,8691,COC,356,
5/30/2018,Blue,2,3670,8692,COC,374,
5/30/2018,Blue,2,3670,8693,COC,422,
5/30/2018,Blue,2,3670,8694,COC,390,
5/30/2018,Blue,2,3670,8695,COC,464,
5/30/2018,Blue,2,3670,8696,COC,366,
5/30/2018,Blue,2,3670,8697,COC,438,
5/30/2018,Blue,2,3670,8698,COC,412,
5/30/2018,Blue,2,3670,8699,COC,394,
5/30/2018,Blue,2,3670,8700,COC,404,
5/30/2018,Blue,2,3670,8701,COC,412,
5/30/2018,Blue,2,3670,8702,COC,378,
5/30/2018,Blue,2,3670,8703,COC,500,
5/30/2018,Blue,2,3670,8704,COC,394,
5/30/2018,Blue,2,3670,8705,COC,398,
5/30/2018,Blue,2,3670,8706,COC,384,
5/30/2018,Blue,2,3670,8707,COC,494,
5/30/2018,Blue,2,3670,8708,COC,420,
5/30/2018,Blue,2,3670,8709,COC,372,
5/30/2018,Blue,2,3670,8710,COC,396,
5/30/2018,Blue,2,3670,8711,COC,364,
5/30/2018,Blue,2,3670,8712,COC,386,
5/30/2018,Blue,2,3670,8713,COC,374,
5/30/2018,Blue,2,3670,8714,COC,418,
5/30/2018,Blue,2,3670,8715,COC,398,
5/30/2018,Blue,2,3670,8716,COC,554,
5/30/2018,Blue,2,3670,8717,COC,422,
5/30/2018,Blue,2,3670,8718,COC,400,
5/30/2018,Blue,2,3670,8719,COC,386,
5/30/2018,Blue,2,3670,8720,COC,422,
5/30/2018,Blue,2,3670,8721,COC,356,
5/30/2018,Blue,2,3670,8722,COC,462,
5/30/2018,Blue,2,3670,8723,COC,372,
5/30/2018,Blue,2,3670,8724,COC,418,
5/30/2018,Blue,2,3670,8725,COC,404,
5/30/2018,Blue,2,3670,8726,COC,398,
5/30/2018,Blue,2,3670,8727,COC,448,
5/30/2018,Blue,2,3670,8728,COC,368,
5/30/2018,Blue,2,3670,8729,COC,348,
5/30/2018,Blue,2,3670,8730,COC,474,
5/30/2018,Blue,2,3670,8731,COC,378,
5/30/2018,Blue,2,3670,8732,COC,404,
5/30/2018,Blue,2,3670,8733,COC,462,
5/30/2018,Blue,2,3670,8734,COC,380,
5/30/2018,Blue,2,3670,8735,COC,392,
5/30/2018,Blue,2,3670,8736,COC,404,
5/30/2018,Blue,2,3670,8737,COC,524,
5/30/2018,Blue,2,3670,8738,COC,535,
5/30/2018,Blue,2,3670,8739,COC,442,
5/30/2018,Blue,2,3670,8740,COC,404,
5/30/2018,Blue,2,3670,8741,COC,434,
5/30/2018,Blue,2,3670,8742,COC,374,
5/30/2018,Blue,2,3670,8743,COC,398,
5/30/2018,Blue,2,3670,8744,COC,404,
5/30/2018,Blue,2,3670,8745,COC,440,
5/30/2018,Blue,2,3670,8746,COC,378,
5/30/2018,Blue,2,3670,8747,COC,402,
5/30/2018,Blue,2,3670,8748,COC,354,
5/30/2018,Blue,2,3670,8749,COC,362,
5/30/2018,Blue,2,3670,9167,COC,388,
5/30/2018,Blue,2,3670,10540,COC,386,
5/30/2018,Blue,2,3670,17699,COC,370,
5/30/2018,Blue,3,2132,7741,COC,556,
5/30/2018,Blue,3,2132,7756,COC,348,
5/30/2018,Blue,3,2132,8750,COC,360,
5/30/2018,Blue,3,2132,8751,COC,406,
5/30/2018,Blue,3,2132,8752,COC,360,
5/30/2018,Blue,3,2132,8753,COC,384,
5/30/2018,Blue,3,2132,8754,COC,428,
5/30/2018,Blue,3,2132,8755,COC,408,
5/30/2018,Blue,3,2132,8756,COC,436,
5/30/2018,Blue,3,2132,8757,COC,484,
5/30/2018,Blue,3,2132,8758,COC,NA,
5/30/2018,Blue,3,2132,8759,COC,432,
5/30/2018,Blue,3,2132,8760,COC,466,
5/30/2018,Blue,3,2132,8761,COC,411,
5/30/2018,Blue,3,2132,8762,COC,402,
5/30/2018,Blue,3,2132,8763,COC,416,
5/30/2018,Blue,3,2132,8764,COC,368,
5/30/2018,Blue,3,2132,8765,COC,388,
5/30/2018,Blue,3,2132,8766,COC,370,
5/30/2018,Blue,3,2132,8767,COC,420,
5/30/2018,Blue,3,2132,8768,COC,370,
5/30/2018,Blue,3,2132,8769,COC,394,
5/30/2018,Blue,3,2132,8770,COC,366,
5/30/2018,Blue,3,2132,8771,COC,400,
5/30/2018,Blue,3,2132,8772,COC,380,
5/30/2018,Blue,3,2132,8773,COC,592,
5/30/2018,Blue,3,2132,8774,COC,370,
5/30/2018,Blue,3,2132,8775,COC,478,
5/30/2018,Blue,3,2132,8776,COC,470,
5/30/2018,Blue,3,2132,8777,COC,402,
5/30/2018,Blue,3,2132,8778,COC,376,
5/30/2018,Blue,3,2132,8779,COC,380,
5/30/2018,Blue,3,2132,8780,COC,372,
5/30/2018,Blue,3,2132,8781,COC,384,
5/30/2018,Blue,3,2132,8782,COC,526,
5/30/2018,Blue,3,2132,8783,COC,388,
5/30/2018,Blue,3,2132,8784,COC,532,
5/30/2018,Blue,3,2132,8785,COC,352,
5/30/2018,Blue,3,2132,8786,COC,438,
5/30/2018,Blue,3,2132,8787,COC,379,
5/30/2018,Blue,3,2132,8788,COC,554,
5/30/2018,Blue,3,2132,8789,COC,354,
5/30/2018,Blue,3,2132,8790,COC,408,
5/30/2018,Blue,3,2132,8791,COC,408,
5/30/2018,Blue,3,2132,8792,COC,382,
5/30/2018,Blue,3,2132,8793,COC,356,
5/30/2018,Blue,3,2132,8794,COC,416,
5/30/2018,Blue,3,2132,8795,COC,388,
5/30/2018,Blue,3,2132,8796,COC,396,
5/30/2018,Blue,3,2132,8797,COC,602,
5/30/2018,Blue,3,2132,8798,COC,408,
5/30/2018,Blue,3,2132,8799,COC,392,
5/30/2018,Blue,3,2132,8800,COC,472,
5/30/2018,Blue,3,2132,8801,COC,438,
5/30/2018,Blue,3,2132,8802,COC,388,
5/30/2018,Blue,3,2132,8803,COC,362,
5/30/2018,Blue,3,2132,8804,COC,394,
5/30/2018,Blue,3,2132,8805,COC,372,
5/30/2018,Blue,3,2132,8806,COC,368,
5/30/2018,Blue,3,2132,8807,COC,456,
5/30/2018,Blue,3,2132,8808,COC,368,
5/30/2018,Blue,3,2132,8809,COC,380,
5/30/2018,Blue,3,2132,8810,COC,379,
5/30/2018,Blue,3,2132,8811,COC,366,
5/30/2018,Blue,3,2132,8812,COC,556,
5/30/2018,Blue,3,2132,8813,COC,400,
5/30/2018,Blue,3,2132,8814,COC,382,
5/30/2018,Blue,3,2132,8815,COC,442,
