Lake,Month,Date,Year,Buffalo,Drum,Carp,Total Rough Fish
Five Island Lake,September,9/23/1991,1991,784,0,7292,8076
Five Island Lake,September,9/24/1991,1991,1600,0,100,1700
Five Island Lake,September,9/25/1991,1991,16,0,8,24
Five Island Lake,September,9/26/1991,1991,2500,0,8600,11100
Five Island Lake,October,10/8/1991,1991,400,0,0,400
Five Island Lake,October,10/9/1991,1991,400,0,18,418
Five Island Lake,October,10/9/1991,1991,4600,0,50,4650
Five Island Lake,October,10/10/1991,1991,2100,0,2800,4900
Five Island Lake,October,10/11/1991,1991,1800,0,3632,5432
Five Island Lake,October,10/26/1998,1998,50,0,1200,1250
Five Island Lake,October,10/27/1998,1998,3300,0,10600,13900
Five Island Lake,October,10/28/1998,1998,1500,0,1900,3400
Five Island Lake,October,10/29/1998,1998,600,0,2500,3100
Five Island Lake,October,10/30/1998,1998,4600,0,1400,6000
Five Island Lake,November,11/1/1998,1998,1200,0,16400,17600
Five Island Lake,November,11/5/1998,1998,1350,0,9200,10550
Five Island Lake,November,11/6/1998,1998,2800,0,11000,13800
Five Island Lake,November,11/7/1998,1998,800,0,200,1000
Five Island Lake,November,11/8/1998,1998,600,0,1200,1800
Five Island Lake,November,11/9/1998,1998,0,0,0,0
Five Island Lake,November,11/12/1998,1998,900,0,200,1100
Five Island Lake,November,11/13/1998,1998,400,0,9200,9600
Five Island Lake,June,6/3/1999,1999,400,0,2900,3300
Five Island Lake,October,10/21/1999,1999,5000,0,250,5250
Five Island Lake,October,10/22/1999,1999,2600,0,1500,4100
Five Island Lake,October,10/26/1999,1999,4200,0,3600,7800
Five Island Lake,October,10/27/1999,1999,740,0,600,1340
Five Island Lake,October,10/28/1999,1999,850,0,1600,2450
Five Island Lake,October,10/29/1999,1999,5200,0,8500,13700
Five Island Lake,November,11/9/1999,1999,1500,0,3800,5300
Five Island Lake,March,3/20/2000,2000,1300,100,4100,5500
Five Island Lake,March,3/21/2000,2000,3250,50,12400,15700
Five Island Lake,March,3/22/2000,2000,5300,150,1100,6550
