Lake,Angler,Length of Seine,Date,Year,Month,Species,Pounds
Silver Lake (Dickinson),,,5/19/2015,2015,5,CAP,11800
Five Island Lake,,,5/20/2015,2015,5,BMB,100
Five Island Lake,,,5/20/2015,2015,5,FWD,0
Five Island Lake,,,5/20/2015,2015,5,CAP,5100
Five Island Lake,,,5/26/2015,2015,5,BMB,1100
Five Island Lake,,,5/26/2015,2015,5,FWD,0
Five Island Lake,,,5/26/2015,2015,5,CAP,400
Five Island Lake,,,5/27/2015,2015,5,BMB,1600
Five Island Lake,,,5/27/2015,2015,5,FWD,0
Five Island Lake,,,5/27/2015,2015,5,CAP,200
High Lake,,,9/11/2015,2015,9,BMB,14975
High Lake,,,9/11/2015,2015,9,FWD,0
High Lake,,,9/11/2015,2015,9,CAP,11470
High Lake,,,9/12/2015,2015,9,BMB,13200
High Lake,,,9/12/2015,2015,9,FWD,0
High Lake,,,9/12/2015,2015,9,CAP,3200
West Swan Lake,,,9/20/2015,2015,9,BMB,5350
West Swan Lake,,,9/20/2015,2015,9,FWD,0
West Swan Lake,,,9/20/2015,2015,9,CAP,1190
West Swan Lake,,,9/21/2015,2015,9,BMB,20720
West Swan Lake,,,9/21/2015,2015,9,FWD,0
West Swan Lake,,,9/21/2015,2015,9,CAP,915
Ingham Lake,,,10/2/2015,2015,10,BMB,14200
Ingham Lake,,,10/2/2015,2015,10,FWD,0
Ingham Lake,,,10/2/2015,2015,10,CAP,1480
Ingham Lake,,,10/3/2015,2015,10,BMB,12550
Ingham Lake,,,10/3/2015,2015,10,FWD,0
Ingham Lake,,,10/3/2015,2015,10,CAP,2450
High Lake,,,10/4/2015,2015,10,BMB,7050
High Lake,,,10/4/2015,2015,10,FWD,0
High Lake,,,10/4/2015,2015,10,CAP,2830
Tuttle Lake,,,10/6/2015,2015,10,BMB,9867
Tuttle Lake,,,10/6/2015,2015,10,FWD,0
Tuttle Lake,,,10/6/2015,2015,10,CAP,11000
Tuttle Lake,,,10/7/2015,2015,10,BMB,9867
Tuttle Lake,,,10/7/2015,2015,10,FWD,0
Tuttle Lake,,,10/7/2015,2015,10,CAP,11000
Iowa Lake,,,10/8/2015,2015,10,BMB,9867
Iowa Lake,,,10/8/2015,2015,10,FWD,0
Iowa Lake,,,10/8/2015,2015,10,CAP,11000
West Swan Lake,,,10/10/2015,2015,10,BMB,14665
West Swan Lake,,,10/10/2015,2015,10,FWD,0
West Swan Lake,,,10/10/2015,2015,10,CAP,3300
West Swan Lake,,,10/11/2015,2015,10,BMB,935
West Swan Lake,,,10/11/2015,2015,10,FWD,0
West Swan Lake,,,10/11/2015,2015,10,CAP,3320
Silver Lake (Palo Alto),,,10/13/2015,2015,10,BMB,8500
Silver Lake (Palo Alto),,,10/13/2015,2015,10,FWD,0
Silver Lake (Palo Alto),,,10/13/2015,2015,10,CAP,1050
