Date,Lake,TAG NUMBER,Species,Length (mm),Weight (g),Recap,Tag Loss,Fin Clipped,Notes,Gear,Site/Transect,Start Latitude,Start Longitude,End Latitude,End Longitude,On-Time (s),Water Temp (C),Secchi (cm),Weather
8/7/2018,Blue,21557,COC,345,,,,L Pelvic,,Electroshocking,1,Std. Trans 1,Std. Trans 1,Std. Trans 1,Std. Trans 1,947,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21558,COC,365,,,,L Pelvic,,Electroshocking,1,Std. Trans 1,Std. Trans 1,Std. Trans 1,Std. Trans 1,947,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21559,COC,412,,,,L Pelvic,,Electroshocking,1,Std. Trans 1,Std. Trans 1,Std. Trans 1,Std. Trans 1,947,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21560,COC,335,,,,L Pelvic,,Electroshocking,1,Std. Trans 1,Std. Trans 1,Std. Trans 1,Std. Trans 1,947,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21561,COC,392,,,,L Pelvic,,Electroshocking,1,Std. Trans 1,Std. Trans 1,Std. Trans 1,Std. Trans 1,947,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21562,COC,385,,,,L Pelvic,,Electroshocking,1,Std. Trans 1,Std. Trans 1,Std. Trans 1,Std. Trans 1,947,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21563,COC,395,,,,L Pelvic,,Electroshocking,1,Std. Trans 1,Std. Trans 1,Std. Trans 1,Std. Trans 1,947,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,9910,COC,389,,1,,L Pelvic,2018 Recap,Electroshocking,1,Std. Trans 1,Std. Trans 1,Std. Trans 1,Std. Trans 1,947,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21564,COC,392,,,,L Pelvic,,Electroshocking,1,Std. Trans 1,Std. Trans 1,Std. Trans 1,Std. Trans 1,947,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21565,COC,372,,,,L Pelvic,,Electroshocking,1,Std. Trans 1,Std. Trans 1,Std. Trans 1,Std. Trans 1,947,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21566,COC,338,,,,L Pelvic,,Electroshocking,1,Std. Trans 1,Std. Trans 1,Std. Trans 1,Std. Trans 1,947,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21567,COC,385,,,,L Pelvic,,Electroshocking,2,Std. Trans 2,Std. Trans 2,Std. Trans 2,Std. Trans 2,994,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21568,COC,392,,,,L Pelvic,,Electroshocking,2,Std. Trans 2,Std. Trans 2,Std. Trans 2,Std. Trans 2,994,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21569,COC,312,,,,L Pelvic,,Electroshocking,2,Std. Trans 2,Std. Trans 2,Std. Trans 2,Std. Trans 2,994,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21570,COC,392,,,,L Pelvic,,Electroshocking,2,Std. Trans 2,Std. Trans 2,Std. Trans 2,Std. Trans 2,994,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,7754,COC,372,,1,,L Pelvic,2017 Recap (right pect fin clip),Electroshocking,2,Std. Trans 2,Std. Trans 2,Std. Trans 2,Std. Trans 2,994,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21571,COC,352,,,,L Pelvic,,Electroshocking,2,Std. Trans 2,Std. Trans 2,Std. Trans 2,Std. Trans 2,994,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21572,COC,425,,,,L Pelvic,,Electroshocking,2,Std. Trans 2,Std. Trans 2,Std. Trans 2,Std. Trans 2,994,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21573,COC,363,,,,L Pelvic,,Electroshocking,2,Std. Trans 2,Std. Trans 2,Std. Trans 2,Std. Trans 2,994,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21574,COC,328,,,,L Pelvic,,Electroshocking,2,Std. Trans 2,Std. Trans 2,Std. Trans 2,Std. Trans 2,994,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21556,COC,392,,,,L Pelvic,Male,Electroshocking,2,Std. Trans 2,Std. Trans 2,Std. Trans 2,Std. Trans 2,994,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21549,COC,395,,,,L Pelvic,,Electroshocking,3,Std. Trans 3,Std. Trans 3,Std. Trans 3,Std. Trans 3,1104,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21550,COC,392,,,,L Pelvic,,Electroshocking,3,Std. Trans 3,Std. Trans 3,Std. Trans 3,Std. Trans 3,1104,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21555,COC,378,,,,L Pelvic,,Electroshocking,3,Std. Trans 3,Std. Trans 3,Std. Trans 3,Std. Trans 3,1104,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21553,COC,595,,,,L Pelvic,Cracked Opercle,Electroshocking,3,Std. Trans 3,Std. Trans 3,Std. Trans 3,Std. Trans 3,1104,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21552,COC,378,,,,L Pelvic,,Electroshocking,3,Std. Trans 3,Std. Trans 3,Std. Trans 3,Std. Trans 3,1104,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21580,COC,395,,,,L Pelvic,,Electroshocking,3,Std. Trans 3,Std. Trans 3,Std. Trans 3,Std. Trans 3,1104,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21581,COC,375,,,,L Pelvic,,Electroshocking,3,Std. Trans 3,Std. Trans 3,Std. Trans 3,Std. Trans 3,1104,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21582,COC,351,,,,L Pelvic,,Electroshocking,3,Std. Trans 3,Std. Trans 3,Std. Trans 3,Std. Trans 3,1104,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21583,COC,315,,,,L Pelvic,,Electroshocking,3,Std. Trans 3,Std. Trans 3,Std. Trans 3,Std. Trans 3,1104,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21584,COC,366,,,,L Pelvic,,Electroshocking,3,Std. Trans 3,Std. Trans 3,Std. Trans 3,Std. Trans 3,1104,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21585,COC,372,,,,L Pelvic,,Electroshocking,3,Std. Trans 3,Std. Trans 3,Std. Trans 3,Std. Trans 3,1104,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21586,COC,422,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21587,COC,342,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21588,COC,302,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
8/7/2018,Blue,21590,COC,362,,,,L Pelvic,,Electroshocking,4,Std. Trans 4,Std. Trans 4,Std. Trans 4,Std. Trans 4,1000,26.5,,Sunny Chance Storms High 86F N. wind 5-10mph
