Lake,Envelope #,Species,TL mm,Weight g,Spine MAS,Otolith MAS,Spine MRP,Otolith MRP,Spine DRF,Otolith DRF
S. Twin,279,COC,342.9,525,8,9,3,4,3,8
S. Twin,280,COC,396.24,800,5,6,4,4,4,4
S. Twin,281,COC,363.22,570,8,4,4,3,4,3
S. Twin,282,COC,365.76,625,4,4,4,4,4,12
S. Twin,283,COC,398.78,775,8,7,4,3,4,4
S. Twin,284,COC,363.22,650,6,5,3,4,3,3
S. Twin,285,COC,398.78,765,7,6,4,4,4,4
S. Twin,286,COC,355.6,560,4,5,4,4,4,3
S. Twin,287,COC,350.52,550,4,4,4,5,4,4
S. Twin,288,COC,388.62,705,5,5,4,3,3,3
S. Twin,289,COC,439.42,890,4,9,3,6,3,5
S. Twin,290,COC,393.7,735,9,5,5,4,4,3
S. Twin,291,COC,388.62,735,4,4,4,4,4,4
S. Twin,292,BIB,505.46,2305,4,4,4,3,4,3
S. Twin,293,BIB,480.06,1940,4,5,4,4,5,3
S. Twin,294,BIB,469.9,770,4,5,3,4,3,2
S. Twin,295,BIB,464.82,1730,5,5,4,3,5,3
S. Twin,296,BIB,523.24,2895,8,5,5,5,5,4
S. Twin,297,BIB,579.12,3478,7,9,4,6,5,6
S. Twin,298,BIB,510.54,2145,6,5,3,4,2,14
S. Twin,299,BIB,457.2,1525,5,6,4,5,3,5
S. Twin,300,BIB,485.14,2035,5,4,3,4,2,4
S. Twin,301,BIB,436.88,1350,4,6,5,5,5,4
S. Twin,302,BIB,520.7,2280,7,7,4,5,3,6
S. Twin,303,BIB,406.4,1165,4,,,,2,
S. Twin,304,BIB,421.64,1265,3,4,2,4,3,3
S. Twin,305,BIB,424.18,1390,4,5,3,5,3,3
S. Twin,306,BIB,378.46,880,3,5,3,4,3,4
S. Twin,307,BIB,378.46,880,7,6,3,4,3,3
S. Twin,308,BIB,401.32,1100,5,5,3,5,3,7
S. Twin,309,BIB,388.62,910,3,4,3,3,2,3
S. Twin,310,BIB,358.14,745,3,7,3,5,3,3
S. Twin,311,BIB,360.68,765,6,4,5,3,3,2
S. Twin,312,COC,678.18,3650,10,11,6,6,6,7
S. Twin,313,COC,502.92,1475,5,7,5,3,5,6
S. Twin,314,COC,500.38,1585,7,9,3,5,4,6
S. Twin,315,COC,457.2,1125,5,7,5,4,5,9
S. Twin,316,COC,449.58,1080,5,10,3,6,5,10
S. Twin,317,COC,408.94,880,7,7,4,5,6,6
