Lake,#,Species,TL.mm,Weight.g,OtolithMAS1,SpineMAS1,OtolithMAS2,SpineMAS2,OtolithPVG1,SpinePVG1
N Twin,54,BIB,424,1165,4,5,12,11,4,5
N Twin,55,BIB,663,4135,16,13,13,14,6,5
N Twin,56,BIB,752,6150,17,15,21,14,8,8
N Twin,57,BIB,472,1660,4,5,4,5,5,5
N Twin,58,BIB,472,1885,4,4,3,3,8,5
N Twin,59,BIB,615,3475,16,14,16,13,12,12
N Twin,60,BIB,643,4175,15,12,16,13,18,17
N Twin,61,BIB,389,925,7,7,12,10,9,12
N Twin,62,BIB,452,1500,5,6,6,6,8,10
N Twin,63,BIB,427,1050,4,5,4,5,7,9
N Twin,64,BIB,411,1045,5,4,5,4,11,13
N Twin,65,BIB,688,1730,23,14,26,18,12,15
N Twin,66,BIB,561,2670,9,10,9,8,8,10
N Twin,67,BIB,541,2480,14,11,14,10,12,14
N Twin,68,BIB,711,5775,23,14,20,16,17,22
N Twin,69,BIB,770,7075,20,16,23,14,13,16
N Twin,70,BIB,658,4415,18,16,17,17,14,18
N Twin,71,BIB,452,1445,8,7,6,5,12,13
N Twin,72,BIB,457,1593,7,6,5,5,14,19
N Twin,73,BIB,409,1050,4,4,3,4,10,12
N Twin,74,BIB,622,3290,15,12,16,14,15,20
N Twin,75,BIB,686,4395,14,14,17,17,14,22
N Twin,76,BIB,660,5090,21,20,30,20,12,20
N Twin,77,BIB,615,3450,14,13,13,13,16,16
N Twin,78,BIB,732,6535,13,11,12,11,18,22
N Twin,79,BIB,589,3185,12,11,13,14,12,18
N Twin,80,BIB,688,4795,18,18,21,16,18,20
N Twin,81,BIB,650,4135,11,10,14,13,12,15
N Twin,82,BIB,602,3390,11,10,9,11,14,18
N Twin,83,BIB,610,3405,15,16,17,14,12,16
N Twin,84,COC,472,1235,7,8,5,5,14,18
N Twin,85,COC,485,1490,7,7,5,4,12,16
N Twin,86,COC,432,915,6,7,6,7,14,18
N Twin,87,COC,518,1650,5,5,4,4,,
N Twin,88,COC,422,1025,6,6,6,5,10,12
N Twin,89,COC,396,800,4,4,1,1,9,14
N Twin,90,COC,295,475,3,,1,,6,8
N Twin,91,COC,333,670,1,,5,6,5,
N Twin,92,COC,399,840,8,7,4,4,9,10
N Twin,93,COC,378,710,7,6,4,4,14,18
N Twin,94,COC,351,750,2,,1,,6,
N Twin,95,COC,323,585,2,2,1,1,5,10
N Twin,96,COC,465,545,1,2,1,1,4,14
