Year,Sample ID,Project,LakeNumber,Lake Name,DOY,DOYFrac,Depth,Chl_ugL,Phyco_ugL,TSS_mgL,VSS_mgL,ISS_mgL,TP_ugL,SRP_ugL,Nitrate_mgL,TN_mgL,Secchi_m,Ratio
2019,P1909021201E,Carp,90,North Twin,148,2019.405479,Epi,38.07,94.51,26,13,13,100.53,1.52,0.18,1.81,0.565,261.78
2019,P1909014801H,Carp,90,North Twin,148,2019.405479,Hypo,,,33,26,7,85.28,120.68,,,,
2019,P1909014801E,Carp,90,North Twin,163,2019.446575,Epi,15.98,30.04,20,6,14,88.69,3.92,0.31,1.09,0.625,174.82
2019,P1909016301H,Carp,90,North Twin,163,2019.446575,Hypo,,,19,10,9,81.51,2.82,,,,
2019,P1909016301E,Carp,90,North Twin,176,2019.482192,Epi,14.55,23.5,2,1,1,71.6,5.49,0.27,1.27,0.775,108.72
2019,P1909017601H,Carp,90,North Twin,176,2019.482192,Hypo,,,12,8,4,87.34,7,,,,
2019,A19090190003,ALM,90,North Twin,190,2019.520548,Epi,9.44,8.55,12,12,0,68.65,5.8,0.02,2.22,0.65,7.62
2019,P1909017601E,Carp,90,North Twin,198,2019.542466,Epi,5.92,84.8,0,0,0,90.88,9.58,0.26,1.86,0.825,59.99
2019,P1909019801H,Carp,90,North Twin,198,2019.542466,Hypo,,,1,1,0,85.32,8.56,,,,
2019,P1909019801E,Carp,90,North Twin,212,2019.580822,Epi,12.1,44.46,35,33,2,111.37,16.53,0.18,1.62,0.425,24.07
2019,P1909021201H,Carp,90,North Twin,212,2019.580822,Hypo,,,28,27,1,91.17,19.57,,,,
2019,P1909022501E,Carp,90,North Twin,225,2019.616438,Epi,5.76,55.55,23,20,3,107.31,,0.2,1.53,0.345,
2019,P1909022501H,Carp,90,North Twin,225,2019.616438,Hypo,,,41,34,7,146.72,,,,,
2019,A19090232003,ALM,90,North Twin,232,2019.635616,Epi,0.6,0.9,28,28,0,112.9,5.8,0.02,1.23,0.33,7.62
2019,A19105148006,ALM,105,Silver,148,2019.405479,Epi,0.6,42.47,11,4,7,30.25,69.15,3.84,4.58,0.4,122.76
2019,P1910515501E,Carp,105,Silver,155,2019.424658,Epi,0.81,15.21,25,17,8,137.37,82.58,4.32,5.87,1.25,115.64
2019,P1910515501H,Carp,105,Silver,155,2019.424658,Hypo,,,20,11,9,142.14,80.8,,,,
2019,P1910516901E,Carp,105,Silver,169,2019.463014,Epi,0.74,5.52,5,2,3,130.66,88.89,4.17,4.12,1.86,103.70
2019,P1910516901H,Carp,105,Silver,169,2019.463014,Hypo,,,11,11,0,150.86,86.09,,,,
