Year,LakeName,LakeID,LAT,LONG,SampleType,DOY,SampleID,TP_mg,TP_ugL,SRP_mg,SRP_ug,TSS_mg/L,VSS_mg/L,ISS_mg/L,TN_mg,Nox_mg,SD_m,Chla_ug/L,Phyco_ug/L,Phyco_ug/L_rerun
2018,Swan,SW,42.03612,-94.8391,Surface,208,P18-208-SW-E01,0.28685,286.85,0.081838,81.838,22,17,5,2.31155,0.13852,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,208,P18-208-SW-H01,0.33455,334.55,0.0947395,94.7395,25,13,12,,,,,,
2018,South Twin,ST,42.45847,-94.6535667,Surface,211,P18-211-ST-E01,0.15465,154.65,0.00882305,8.82305,60,40,20,2.5681,0.0963575,0.195,43.5854096,163.4653824,120.3247936
2018,South Twin,ST,42.45847,-94.6535667,Bottom,211,P18-211-ST-H01,0.15025,150.25,0.0022363,2.2363,68,36,32,,,,,,
2018,North Twin,NT,42.47563,-94.6404667,Surface,213,P18-213-NT-E01,0.0734,73.4,0.00207305,2.07305,20,,,2.2928,0.0768495,0.37,56.7453204,342.8323344,105.4702624
2018,North Twin,NT,42.47563,-94.6404667,Bottom,213,P18-213-NT-H01,0.07295,72.95,0.0017429,1.7429,30,26,4,,,,,,
2018,Swan,SW,42.03612,-94.8391,Surface,215,P18-215-SW-E01,0.31135,311.35,0.077907,77.907,11,,,2.57125,0.121495,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,215,P18-215-SW-H01,0.3137,313.7,0.10695,106.95,30,21,9,,,,,,
2018,Center,CE,43.41263,-95.1357333,Surface,219,P18-219-CE-E01,0.0622,62.2,0.0026573,2.6573,27,9,18,1.6297,0.0771135,0.64,29.603804,68.3173616,152.0503776
2018,Center,CE,43.41263,-95.1357333,Bottom,219,P-18-219-CE-H01,0.04,40,0.0030943,3.0943,50,20,30,,,,,,
2018,Five Island,FI,43.1545,-94.6479833,Surface,219,P18-219-FI-E01,0.11905,119.05,0.00672525,6.72525,16,10,6,1.94745,0.038269,0.295,42.7618256,229.5010304,114.0554816
2018,Five Island,FI,43.1545,-94.6479833,Bottom,219,P18-219-FI-H01,0.1415,141.5,0.0029587,2.9587,13,3,10,,,,,,
2018,Silver,SI,43.44145,-95.3352667,Surface,220,P18-220-SI-E01,0.2256,225.6,0.15128,151.28,,,,1.7481,0.070517,0.95,18.8535652,41.8565424,73.3632192
2018,Silver,SI,43.44145,-95.3352667,Bottom,220,P18-220-SI-H01,0.2209,220.9,0.15956,159.56,8,4,4,,,,,,
2018,Storm,SO,42.61977,-95.18565,Surface,220,P18-220-SO-E01,0.07675,76.75,0.028557,28.557,16,,,0.694725,0.01380515,0.39,5.7817252,48.9328144,89.6608352
2018,Storm,SO,42.61977,-95.18565,Bottom,220,P18-220-SO-H01,0.08295,82.95,0.026206,26.206,22,3,19,,,,,,
2018,Swan,SW,42.03612,-94.8391,Surface,222,P18-222-SW-E01,0.28265,282.65,0.059285,59.285,24,,,2.46275,0.169715,,,,
2018,Swan,SW,42.03612,-94.8391,Bottom,222,P18-222-SW-H01,0.35215,352.15,0.214895,214.895,4,,,,,,,,
2018,Blue,BL,,,Surface,243,P18-243-BL-E01,0.07483,74.83,0.0065038,6.5038,,,,2.9728,,,15.3262892,312.1701328,84.7296352
2018,Blue,BL,,,Bottom,243,P18-243-BL-H02,0.077588,77.588,0.0196915,19.6915,,,,2.97165,,,,,
