facilityID,siteID,name,sampleDate,projectCode,cas_rn,analyte,fraction,relDepth,result,unit,detect,detectLimit,quantFlag,quantLimit,method,colMethod,resultType,matrix,medium,qualFlag,remark,county,huc8,type,aquifer
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,7440-47-3,Chromium,Total,,20,mg/kg,True,2,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,7440-50-8,Copper,Total,,78,mg/kg,True,1,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,7440-66-6,Zinc,Total,,74,mg/kg,True,2,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,7782-49-2,Selenium,Total,,1,mg/kg,False,1,,,6020,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,1024-57-3,Heptachlor epoxide,Total,,0.01,mg/kg,False,0.01,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,1031-07-8,Endosulfan sulfate,Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,309-00-2,Aldrin,Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,319-84-6,.alpha.-Hexachlorocyclohexane,Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,319-85-7,.beta.-Hexachlorocyclohexane,Total,,0.01,mg/kg,False,0.01,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,319-86-8,.delta.-Hexachlorocyclohexane,Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,33213-65-9,.beta.-Endosulfan,Total,,0.01,mg/kg,False,0.01,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,50-29-3,"p,p'-DDT",Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,53494-70-5,Endrin ketone,Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,57-74-9,Chlordane,Total,,0.05,mg/kg,False,0.05,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,58-89-9,Lindane,Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
6,22300010,Center Lake,2005-08-02T10:45:00-05:00,AMBLAKE-SHL,60-57-1,Dieldrin,Total,,0.02,mg/kg,False,0.02,,,8081A,UHLLAKESED,Actual,WSED,Sediment,,,DICKINSON,10230003,Lake,
