Date,Lake,TAG.NUMBER,Length..mm.,Weight..g.,Otolith Weight (mg),Otolith Diameter (mm),Marcus_Dorsal,Drake_Dorsal,Marty_Dorsal,Marcus_Pectoral,Drake_Pectoral,Marty_Pectoral,Marcus_SectOto,Drake_SectOto,Marty_SectOto
6/5/2018,Center,Env5,653,4075,43,5.68,10,8,7,11,10,10,4,5,6
6/5/2018,Center,Env51,462,1783,27,5.06,,,,4,4,4,5,3,4
6/5/2018,Center,Env52,600,3293,38,5.46,7,13,6,10,8,6,8,5,8
6/5/2018,Center,Env58,730,1572,71,5.75,14,8,5,14,7,7,11,8,12
6/5/2018,Center,Env59,557,1439,38,5.11,5,5,4,11,11,11,13,11,12
6/5/2018,Center,Env61,599,3644,45,5.19,6,5,4,13,11,10,9,7,8
6/5/2018,Center,Env62,763,6898,53,5.5,12,10,7,13,13,8,12,12,9
6/5/2018,Center,Env63,648,4517,41,5.2,10,8,6,10,9,8,12,9,9
6/5/2018,Center,Env64,684,5232,46,6,7,5,6,13,13,10,13,9,10
6/5/2018,Center,Env66,443,1464,21,4.19,4,4,3,5,4,4,5,3,3
6/5/2018,Center,Env71,725,6058,83,7.45,9,8,10,10,13,10,10,8,11
6/5/2018,Center,Env72,793,7941,61,5.94,10,10,8,12,12,12,7,8,7
6/5/2018,Center,Env73,722,6647,54,5.44,8,7,7,10,12,15,7,10,14
6/5/2018,Center,Env74,699,4824,46,5.81,13,13,11,,,,8,7,8
6/5/2018,Center,Env75,645,4304,54,6.3,10,7,3,9,5,6,9,5,5
6/5/2018,Center,Env79,645,4059,51,6.18,7,7,6,11,13,7,7,8,9
6/5/2018,Center,Env8,448,1929,24,4.86,5,3,4,5,5,3,6,5,
6/5/2018,Center,Env83,657,3525,41,5.82,9,8,4,10,16,7,,6,9
6/5/2018,Center,Env89,746,6135,39,5.09,12,8,8,10,11,10,14,11,14
5/24/2018,Silver,Env100,692,5536,19,5.33,6,4,5,8,6,6,6,5,5
5/24/2018,Silver,Env101,536,2646,15,4.71,4,2,3,4,3,3,4,4,4
5/24/2018,Silver,Env107,373,1124,10,3.4,6,4,5,2,2,2,5,5,4
6/26/2018,Silver,Env121,627,4321,28,5.61,7,7,6,8,5,5,7,3,4
6/26/2018,Silver,Env123,775,8239,50,6,14,12,6,10,6,7,13,9,14
5/9/2018,Silver,Env13,588,3182,25,4.8,6,5,3,6,5,4,7,5,2
6/26/2018,Silver,Env137,535,2241,15,4.22,4,4,3,4,3,2,,3,4
5/9/2018,Silver,Env14,713,6335,32,6,15,10,8,14,10,11,10,6,8
6/26/2018,Silver,Env140,690,4470,44,6.11,12,7,4,13,10,9,10,6,9
6/26/2018,Silver,Env141,570,2910,18,3.76,4,3,3,4,3,3,,3,3
6/26/2018,Silver,Env142,756,6378,34,5.23,9,7,8,9,6,10,9,5,7
5/15/2018,Silver,Env15,685,4520,36,5.13,9,6,4,8,5,9,11,10,11
5/15/2018,Silver,Env18,322,608,8,3.02,2,2,2,,4,1,3,4,2
5/15/2018,Silver,Env19,356,865,8,3.4,5,4,3,4,3,2,4,2,2
5/9/2018,Silver,Env2,779,8475,,,10,6,6,12,8,10,,,
5/15/2018,Silver,Env25,731,6666,59,5.66,13,3,5,19,17,9,16,11,10
5/15/2018,Silver,Env27,606,3880,23,5.12,4,4,3,5,4,4,4,3,4
5/15/2018,Silver,Env28,723,6329,46,6.27,10,7,5,12,12,11,13,7,13
5/15/2018,Silver,Env29,757,7210,46,5.83,12,6,6,13,9,11,10,10,15
5/9/2018,Silver,Env3,816,11975,37,5.26,12,7,,12,8,10,12,4,9
5/15/2018,Silver,Env30,378,1215,8,3.41,4,2,2,4,4,2,4,8,3
5/15/2018,Silver,Env47,340,730,8,3.1,2,4,2,,,,2,2,3
5/15/2018,Silver,Env48,372,1056,9,3.9,3,2,3,,,,3,3,4
5/15/2018,Silver,Env49,338,764,7,3.15,4,2,2,3,2,2,4,4,4
5/15/2018,Silver,Env53,740,7866,44,5.82,11,10,5,13,12,12,9,5,10
5/15/2018,Silver,Env55,566,2957,23,4.98,4,5,4,5,3,5,5,6,4
5/9/2018,Silver,Env6,552,2668,,,4,5,4,4,3,3,,,
5/15/2018,Silver,Env60,326,512,,,,,,3,3,3,,,
5/15/2018,Silver,Env61,630,4515,30,5.13,11,10,5,11,9,10,6,6,3
5/15/2018,Silver,Env63,535,2718,20,5.12,4,3,2,4,3,3,6,5,3
5/15/2018,Silver,Env66,813,9239,46,6.66,13,8,6,15,13,12,13,6,7
5/15/2018,Silver,Env67,490,2020,20,4.86,5,4,2,4,3,3,5,3,3
5/24/2018,Silver,Env82,494,5645,18,4.56,4,5,3,4,3,3,3,2,3
5/24/2018,Silver,Env84,497,2308,18,3.91,4,4,3,4,2,3,5,2,3
5/24/2018,Silver,Env87,501,2649,17,4.96,5,4,4,4,3,4,6,3,3
5/24/2018,Silver,Env89,667,5376,28,4.47,7,5,5,8,5,7,4,3,4
5/24/2018,Silver,Env93,497,2296,18,4.19,4,3,3,,,,5,4,6
5/24/2018,Silver,Env94,815,8146,35,6.68,10,10,8,11,7,10,6,7,8
5/24/2018,Silver,Env97,804,10687,50,6.36,14,12,6,13,6,7,14,11,7
5/24/2018,Silver,Env99,644,4265,34,5.43,10,6,6,11,7,8,12,12,13
